Date,Asset,Return
2007-09-18,Equity,0.015742969804423
2007-09-19,Equity,0.0401401471599484
2007-09-20,Equity,0.0086933812046524
2007-09-21,Equity,0.0314413859487287
2007-09-24,Equity,0.0179925437842082
2007-09-25,Equity,-0.0002248327951219
2007-09-26,Equity,0.0132677686145713
2007-09-27,Equity,0.0185940785188827
2007-09-28,Equity,0.0007038061126227
2007-10-01,Equity,0.0141200220517183
2007-10-03,Equity,0.024576679587985
2007-10-04,Equity,-0.0038384238933684
2007-10-05,Equity,-0.0021415982699223
2007-10-08,Equity,-0.0344341078042783
2007-10-09,Equity,0.0341201530613974
2007-10-10,Equity,0.0172386879518152
2007-10-11,Equity,0.0075241296257962
2007-10-12,Equity,-0.0146706762979723
2007-10-15,Equity,0.0376450096882357
2007-10-16,Equity,-0.0114128796841733
2007-10-17,Equity,-0.0071613032188981
2007-10-18,Equity,-0.0389749226528459
2007-10-19,Equity,-0.0245195567045821
2007-10-22,Equity,-0.0170995205614532
2007-10-23,Equity,0.0518284635341418
2007-10-24,Equity,0.0052887575249939
2007-10-25,Equity,0.0043377405016015
2007-10-26,Equity,0.0272507811225334
2007-10-29,Equity,0.0311997998382536
2007-10-30,Equity,-0.0083238534166291
2007-10-31,Equity,0.0009219002171806
2007-11-01,Equity,0.0093223034001547
2007-11-02,Equity,0.0114338643443764
2007-11-05,Equity,-0.022506657267991
2007-11-06,Equity,-0.0035175691006135
2007-11-07,Equity,-0.0101839188781142
2007-11-08,Equity,-0.0124868975374629
2007-11-12,Equity,-0.0297050472983423
2007-11-13,Equity,0.0036140539573938
2007-11-14,Equity,0.0444531116374935
2007-11-15,Equity,0.0018627950169298
2007-11-16,Equity,0.000782936927404
2007-11-19,Equity,-0.0004897833498941
2007-11-20,Equity,-0.0235640616951278
2007-11-21,Equity,-0.0495586039480149
2007-11-22,Equity,-0.0129572851487676
2007-11-23,Equity,0.0127852719281955
2007-11-26,Equity,0.0307054311693859
2007-11-27,Equity,-0.0028045163255124
2007-11-28,Equity,-0.0279492804029087
2007-11-29,Equity,0.0059278549865598
2007-11-30,Equity,0.0199627308388963
2007-12-03,Equity,0.0126278889318284
2007-12-04,Equity,0.0040595821191242
2007-12-05,Equity,0.022485350722233
2007-12-06,Equity,0.0102250213085693
2007-12-07,Equity,-0.0031222882684489
2007-12-10,Equity,-0.0044668057271154
2007-12-11,Equity,0.0258756351002788
2007-12-12,Equity,0.0182810479967647
2007-12-13,Equity,-0.019963785382364
2007-12-14,Equity,-0.0029019655252176
2007-12-17,Equity,-0.0533115288040935
2007-12-18,Equity,-0.0152762646098342
2007-12-19,Equity,0.0083414179330131
2007-12-20,Equity,0.0138189686652965
2007-12-24,Equity,0.0376325460378922
2007-12-26,Equity,0.0226387844687016
2007-12-27,Equity,0.0049638743470679
2007-12-28,Equity,-0.0051569055312913
2007-12-31,Equity,0.0128791264953938
2008-01-01,Equity,0.0135409881803325
2008-01-02,Equity,0.0057177874540331
2008-01-03,Equity,0.0126795796330084
2008-01-04,Equity,-0.0051607967688535
2008-01-07,Equity,0.0076402923328163
2008-01-08,Equity,0.0023898883332498
2008-01-09,Equity,-0.0046128087278
2008-01-10,Equity,-0.0173093137697791
2008-01-11,Equity,-0.0085922272318403
2008-01-14,Equity,-0.0003767946401714
2008-01-15,Equity,-0.0181986786085645
2008-01-16,Equity,-0.0106780165106525
2008-01-17,Equity,-0.0076451432881173
2008-01-18,Equity,-0.0413266418756496
2008-01-21,Equity,-0.0907384051115709
2008-01-22,Equity,-0.0517954613730068
2008-01-23,Equity,0.0650001229301664
2008-01-24,Equity,-0.0365993627580196
2008-01-25,Equity,0.0739210623839021
2008-01-28,Equity,-0.0192174340542406
2008-01-29,Equity,0.0093194632759623
2008-01-30,Equity,-0.0267525161042203
2008-01-31,Equity,-0.0081557080741645
2008-02-01,Equity,0.0321610029492273
2008-02-04,Equity,0.0160966996354047
2008-02-05,Equity,0.0064028145719206
2008-02-06,Equity,-0.0270340674470146
2008-02-07,Equity,-0.0352247162740964
2008-02-08,Equity,-0.0040897058516405
2008-02-11,Equity,-0.0624550150411693
2008-02-12,Equity,-0.0069255702411716
2008-02-13,Equity,0.0164081149663235
2008-02-14,Equity,0.0491718839648511
2008-02-15,Equity,0.0184060815392267
2008-02-18,Equity,-0.0013705708517965
2008-02-19,Equity,0.0161285390044734
2008-02-20,Equity,-0.0222296034570655
2008-02-21,Equity,0.0096064930014717
2008-02-22,Equity,-0.0159066863477685
2008-02-25,Equity,0.0025500250264214
2008-02-26,Equity,0.0134225567854678
2008-02-27,Equity,0.0004687701897136
2008-02-28,Equity,0.0231758168676256
2008-02-29,Equity,-0.0128943145820783
2008-03-03,Equity,-0.0490728227545827
2008-03-04,Equity,-0.0178961274304059
2008-03-05,Equity,0.0026995405638738
2008-03-07,Equity,-0.0209958715132221
2008-03-10,Equity,0.0123511344974902
2008-03-11,Equity,0.0202729521292337
2008-03-12,Equity,-0.005721457397729
2008-03-13,Equity,-0.0394628471430017
2008-03-14,Equity,0.0155147495152754
2008-03-17,Equity,-0.046145038950957
2008-03-18,Equity,0.0244634934875988
2008-03-19,Equity,0.0014095049675624
2008-03-24,Equity,0.0036183923760106
2008-03-25,Equity,0.0591576460050934
2008-03-26,Equity,-0.013702157328009
2008-03-27,Equity,-0.0118154035758805
2008-03-28,Equity,0.0239839522741999
2008-03-31,Equity,-0.0501854794872269
2008-04-01,Equity,0.0051553366966392
2008-04-02,Equity,-0.0039643005783615
2008-04-03,Equity,0.0163593763021329
2008-04-04,Equity,-0.0320788805398314
